Age_Numeric,Age,WebframeWantToWorkWith
3,25-34 years old,React
3,25-34 years old,Vue.js
6,55-64 years old,Vue.js
4,35-44 years old,Angular
6,55-64 years old,Angular
6,55-64 years old,ASP.NET CORE
6,55-64 years old,Node.js
6,55-64 years old,Vue.js
3,25-34 years old,Spring Boot
4,35-44 years old,Node.js
4,35-44 years old,Svelte
4,35-44 years old,Vue.js
2,18-24 years old,Django
2,18-24 years old,Express
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Vue.js
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
7,65 years or older,ASP.NET CORE
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Vue.js
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Next.js
3,25-34 years old,React
4,35-44 years old,Django
4,35-44 years old,Express
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Spring Boot
3,25-34 years old,Vue.js
5,45-54 years old,Angular
5,45-54 years old,Express
5,45-54 years old,Node.js
5,45-54 years old,React
4,35-44 years old,Django
4,35-44 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Django
4,35-44 years old,Node.js
5,45-54 years old,React
2,18-24 years old,React
2,18-24 years old,Svelte
2,18-24 years old,Vue.js
3,25-34 years old,Vue.js
3,25-34 years old,Angular
3,25-34 years old,ASP.NET CORE
6,55-64 years old,Spring Boot
4,35-44 years old,Node.js
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Svelte
4,35-44 years old,Node.js
3,25-34 years old,Angular
3,25-34 years old,ASP.NET CORE
5,45-54 years old,ASP.NET CORE
5,45-54 years old,React
2,18-24 years old,Django
4,35-44 years old,React
4,35-44 years old,Express
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
3,25-34 years old,Django
3,25-34 years old,React
2,18-24 years old,ASP.NET CORE
2,18-24 years old,Spring Boot
2,18-24 years old,React
5,45-54 years old,Svelte
5,45-54 years old,Spring Boot
3,25-34 years old,Django
3,25-34 years old,Node.js
3,25-34 years old,Svelte
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,ASP.NET CORE
5,45-54 years old,Angular
5,45-54 years old,ASP.NET CORE
5,45-54 years old,React
3,25-34 years old,Node.js
5,45-54 years old,Express
5,45-54 years old,Node.js
5,45-54 years old,Vue.js
4,35-44 years old,Node.js
4,35-44 years old,React
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
3,25-34 years old,Vue.js
4,35-44 years old,Express
4,35-44 years old,Node.js
4,35-44 years old,Vue.js
3,25-34 years old,Angular
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Django
3,25-34 years old,Express
3,25-34 years old,React
4,35-44 years old,Node.js
4,35-44 years old,Vue.js
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,React
4,35-44 years old,Angular
4,35-44 years old,Express
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Spring Boot
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Next.js
4,35-44 years old,Spring Boot
4,35-44 years old,Vue.js
3,25-34 years old,Node.js
6,55-64 years old,Angular
6,55-64 years old,Node.js
2,18-24 years old,Express
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
7,65 years or older,Node.js
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Express
3,25-34 years old,Node.js
3,25-34 years old,Vue.js
5,45-54 years old,Svelte
5,45-54 years old,Vue.js
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Django
4,35-44 years old,React
4,35-44 years old,Spring Boot
4,35-44 years old,Vue.js
3,25-34 years old,Angular
3,25-34 years old,Spring Boot
3,25-34 years old,Django
4,35-44 years old,Angular
4,35-44 years old,Django
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Django
3,25-34 years old,Svelte
5,45-54 years old,Spring Boot
4,35-44 years old,Django
4,35-44 years old,Express
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Vue.js
5,45-54 years old,React
5,45-54 years old,Vue.js
4,35-44 years old,Django
4,35-44 years old,Next.js
4,35-44 years old,Spring Boot
5,45-54 years old,ASP.NET CORE
2,18-24 years old,Svelte
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,Django
4,35-44 years old,Spring Boot
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Svelte
4,35-44 years old,Node.js
4,35-44 years old,Vue.js
5,45-54 years old,ASP.NET CORE
5,45-54 years old,Node.js
5,45-54 years old,Vue.js
3,25-34 years old,Angular
3,25-34 years old,Express
3,25-34 years old,Node.js
2,18-24 years old,ASP.NET CORE
2,18-24 years old,Svelte
3,25-34 years old,Angular
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,ASP.NET CORE
3,25-34 years old,React
3,25-34 years old,Svelte
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Svelte
5,45-54 years old,ASP.NET CORE
3,25-34 years old,Node.js
3,25-34 years old,Vue.js
2,18-24 years old,Next.js
2,18-24 years old,Svelte
2,18-24 years old,Vue.js
3,25-34 years old,Angular
3,25-34 years old,Express
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
2,18-24 years old,Django
2,18-24 years old,Next.js
2,18-24 years old,React
2,18-24 years old,Spring Boot
2,18-24 years old,Svelte
2,18-24 years old,Vue.js
3,25-34 years old,Vue.js
3,25-34 years old,Express
3,25-34 years old,Node.js
3,25-34 years old,Vue.js
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,Django
4,35-44 years old,React
5,45-54 years old,Django
5,45-54 years old,Svelte
4,35-44 years old,Svelte
4,35-44 years old,ASP.NET CORE
1,Under 18 years old,React
1,Under 18 years old,Svelte
5,45-54 years old,React
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,React
4,35-44 years old,Vue.js
4,35-44 years old,ASP.NET CORE
6,55-64 years old,Django
6,55-64 years old,React
6,55-64 years old,Vue.js
5,45-54 years old,ASP.NET CORE
5,45-54 years old,Node.js
5,45-54 years old,React
4,35-44 years old,Angular
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Django
4,35-44 years old,Node.js
3,25-34 years old,ASP.NET CORE
4,35-44 years old,Vue.js
4,35-44 years old,Express
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Svelte
4,35-44 years old,Angular
4,35-44 years old,Express
4,35-44 years old,Node.js
4,35-44 years old,React
3,25-34 years old,Django
4,35-44 years old,ASP.NET CORE
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
3,25-34 years old,Spring Boot
3,25-34 years old,Svelte
4,35-44 years old,Node.js
4,35-44 years old,Django
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Svelte
6,55-64 years old,Django
6,55-64 years old,Node.js
4,35-44 years old,Angular
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
2,18-24 years old,Django
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Spring Boot
3,25-34 years old,Express
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Express
3,25-34 years old,Node.js
3,25-34 years old,Vue.js
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Angular
4,35-44 years old,Spring Boot
5,45-54 years old,Node.js
2,18-24 years old,ASP.NET CORE
2,18-24 years old,Spring Boot
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Angular
3,25-34 years old,Express
3,25-34 years old,Spring Boot
3,25-34 years old,React
3,25-34 years old,ASP.NET CORE
3,25-34 years old,React
5,45-54 years old,Django
4,35-44 years old,Node.js
5,45-54 years old,Node.js
5,45-54 years old,React
5,45-54 years old,Spring Boot
4,35-44 years old,React
4,35-44 years old,Svelte
5,45-54 years old,Node.js
6,55-64 years old,Vue.js
4,35-44 years old,ASP.NET CORE
3,25-34 years old,React
3,25-34 years old,Vue.js
4,35-44 years old,Express
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
1,Under 18 years old,Node.js
1,Under 18 years old,Vue.js
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,Django
4,35-44 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
8,Prefer not to say,Django
8,Prefer not to say,Vue.js
3,25-34 years old,Vue.js
3,25-34 years old,Vue.js
5,45-54 years old,Node.js
5,45-54 years old,React
6,55-64 years old,Node.js
6,55-64 years old,Vue.js
4,35-44 years old,Angular
4,35-44 years old,React
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,Node.js
4,35-44 years old,Vue.js
3,25-34 years old,Spring Boot
3,25-34 years old,Angular
3,25-34 years old,Node.js
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Vue.js
4,35-44 years old,Django
2,18-24 years old,Node.js
5,45-54 years old,Svelte
5,45-54 years old,Angular
5,45-54 years old,Node.js
2,18-24 years old,Angular
2,18-24 years old,ASP.NET CORE
2,18-24 years old,Node.js
2,18-24 years old,React
3,25-34 years old,Angular
3,25-34 years old,ASP.NET CORE
3,25-34 years old,React
3,25-34 years old,Vue.js
4,35-44 years old,ASP.NET CORE
4,35-44 years old,React
4,35-44 years old,Vue.js
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Vue.js
2,18-24 years old,Express
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
4,35-44 years old,Angular
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Django
4,35-44 years old,Express
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Vue.js
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,ASP.NET CORE
3,25-34 years old,Angular
3,25-34 years old,Express
3,25-34 years old,Node.js
3,25-34 years old,ASP.NET CORE
2,18-24 years old,Django
2,18-24 years old,Express
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Spring Boot
3,25-34 years old,Node.js
3,25-34 years old,React
5,45-54 years old,ASP.NET CORE
5,45-54 years old,Vue.js
3,25-34 years old,ASP.NET CORE
4,35-44 years old,Angular
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Express
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Svelte
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
5,45-54 years old,ASP.NET CORE
5,45-54 years old,Node.js
5,45-54 years old,Vue.js
3,25-34 years old,Angular
3,25-34 years old,ASP.NET CORE
2,18-24 years old,Express
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
2,18-24 years old,Angular
2,18-24 years old,Django
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Vue.js
4,35-44 years old,ASP.NET CORE
3,25-34 years old,Angular
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Svelte
4,35-44 years old,Angular
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Django
4,35-44 years old,Express
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Node.js
4,35-44 years old,React
2,18-24 years old,Django
2,18-24 years old,Node.js
2,18-24 years old,React
3,25-34 years old,Django
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Svelte
2,18-24 years old,Vue.js
2,18-24 years old,Django
2,18-24 years old,Express
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Angular
2,18-24 years old,ASP.NET CORE
4,35-44 years old,Express
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,Spring Boot
4,35-44 years old,Svelte
4,35-44 years old,Vue.js
4,35-44 years old,Next.js
4,35-44 years old,React
3,25-34 years old,Node.js
3,25-34 years old,Spring Boot
5,45-54 years old,Django
5,45-54 years old,Express
5,45-54 years old,Node.js
5,45-54 years old,React
3,25-34 years old,Vue.js
3,25-34 years old,Node.js
3,25-34 years old,Vue.js
4,35-44 years old,Node.js
3,25-34 years old,Node.js
6,55-64 years old,Next.js
2,18-24 years old,ASP.NET CORE
2,18-24 years old,Svelte
6,55-64 years old,Node.js
6,55-64 years old,React
4,35-44 years old,Node.js
4,35-44 years old,Vue.js
3,25-34 years old,Angular
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Node.js
4,35-44 years old,Angular
4,35-44 years old,ASP.NET CORE
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Spring Boot
3,25-34 years old,Node.js
3,25-34 years old,React
6,55-64 years old,ASP.NET CORE
3,25-34 years old,React
3,25-34 years old,Vue.js
6,55-64 years old,ASP.NET CORE
2,18-24 years old,Django
2,18-24 years old,Node.js
3,25-34 years old,Vue.js
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
5,45-54 years old,ASP.NET CORE
5,45-54 years old,Next.js
5,45-54 years old,React
5,45-54 years old,Spring Boot
2,18-24 years old,Next.js
2,18-24 years old,React
2,18-24 years old,Svelte
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
3,25-34 years old,React
3,25-34 years old,Svelte
1,Under 18 years old,Django
1,Under 18 years old,React
3,25-34 years old,React
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
6,55-64 years old,Next.js
6,55-64 years old,Node.js
6,55-64 years old,React
4,35-44 years old,ASP.NET CORE
3,25-34 years old,Angular
3,25-34 years old,Django
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,React
3,25-34 years old,Spring Boot
3,25-34 years old,Angular
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Express
3,25-34 years old,Node.js
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,Django
3,25-34 years old,Django
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
4,35-44 years old,Next.js
4,35-44 years old,React
4,35-44 years old,Spring Boot
4,35-44 years old,Express
4,35-44 years old,Node.js
3,25-34 years old,Express
3,25-34 years old,Node.js
4,35-44 years old,Django
6,55-64 years old,Express
6,55-64 years old,Next.js
6,55-64 years old,Node.js
6,55-64 years old,React
3,25-34 years old,Node.js
3,25-34 years old,Svelte
3,25-34 years old,Django
3,25-34 years old,Express
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,Vue.js
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Svelte
1,Under 18 years old,Node.js
5,45-54 years old,ASP.NET CORE
4,35-44 years old,Spring Boot
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,ASP.NET CORE
4,35-44 years old,React
4,35-44 years old,Spring Boot
4,35-44 years old,Vue.js
8,Prefer not to say,Node.js
8,Prefer not to say,Svelte
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Node.js
3,25-34 years old,React
5,45-54 years old,Node.js
5,45-54 years old,React
5,45-54 years old,Spring Boot
2,18-24 years old,React
2,18-24 years old,Angular
2,18-24 years old,ASP.NET CORE
2,18-24 years old,React
2,18-24 years old,Spring Boot
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Django
3,25-34 years old,Node.js
6,55-64 years old,Django
4,35-44 years old,Node.js
4,35-44 years old,React
5,45-54 years old,Express
5,45-54 years old,Next.js
5,45-54 years old,Node.js
5,45-54 years old,React
5,45-54 years old,Svelte
5,45-54 years old,Vue.js
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
6,55-64 years old,ASP.NET CORE
5,45-54 years old,Spring Boot
2,18-24 years old,React
2,18-24 years old,Svelte
4,35-44 years old,ASP.NET CORE
4,35-44 years old,Node.js
3,25-34 years old,Node.js
3,25-34 years old,Vue.js
4,35-44 years old,Angular
4,35-44 years old,Node.js
4,35-44 years old,Spring Boot
6,55-64 years old,ASP.NET CORE
1,Under 18 years old,Express
5,45-54 years old,ASP.NET CORE
4,35-44 years old,Next.js
4,35-44 years old,React
3,25-34 years old,Next.js
3,25-34 years old,Svelte
2,18-24 years old,Next.js
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Django
2,18-24 years old,Node.js
2,18-24 years old,React
2,18-24 years old,Spring Boot
2,18-24 years old,Vue.js
3,25-34 years old,Angular
3,25-34 years old,Express
3,25-34 years old,Next.js
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Vue.js
3,25-34 years old,Node.js
3,25-34 years old,React
4,35-44 years old,Vue.js
4,35-44 years old,Express
4,35-44 years old,React
3,25-34 years old,Angular
3,25-34 years old,Node.js
3,25-34 years old,Spring Boot
3,25-34 years old,Vue.js
3,25-34 years old,ASP.NET CORE
5,45-54 years old,ASP.NET CORE
5,45-54 years old,Node.js
5,45-54 years old,React
4,35-44 years old,Node.js
3,25-34 years old,Express
3,25-34 years old,Node.js
2,18-24 years old,Django
2,18-24 years old,Node.js
6,55-64 years old,Next.js
6,55-64 years old,Vue.js
4,35-44 years old,Next.js
4,35-44 years old,Node.js
2,18-24 years old,Node.js
2,18-24 years old,React
4,35-44 years old,Svelte
4,35-44 years old,Express
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Express
4,35-44 years old,Next.js
4,35-44 years old,Node.js
4,35-44 years old,React
4,35-44 years old,Vue.js
3,25-34 years old,Express
3,25-34 years old,Node.js
3,25-34 years old,Svelte
2,18-24 years old,Svelte
2,18-24 years old,Vue.js
3,25-34 years old,Angular
3,25-34 years old,ASP.NET CORE
3,25-34 years old,Node.js
3,25-34 years old,React
5,45-54 years old,Django
5,45-54 years old,Express
5,45-54 years old,Node.js
3,25-34 years old,Django
3,25-34 years old,Node.js
3,25-34 years old,React
3,25-34 years old,Angular
